sector,eval_date,n_expected,n_silent,sms_score
IGV,2011-01-31,3,0,0.0
IGV,2011-02-28,7,2,0.2857142856734694
IGV,2011-03-31,3,1,0.3333333332222222
IGV,2011-04-30,3,0,0.0
IGV,2011-05-31,8,3,0.374999999953125
IGV,2011-07-31,6,2,0.33333333327777775
IGV,2011-09-30,4,1,0.2499999999375
IGV,2012-01-31,4,1,0.2499999999375
IGV,2012-03-31,7,5,0.7142857141836735
IGV,2012-06-30,3,1,0.3333333332222222
IGV,2012-10-31,6,3,0.49999999991666666
IGV,2012-11-30,5,1,0.19999999996
IGV,2012-12-31,3,0,0.0
IGV,2013-02-28,3,1,0.3333333332222222
IGV,2013-03-31,3,2,0.6666666664444444
IPAY,2009-11-30,3,2,0.6666666664444444
IPAY,2010-05-31,4,1,0.2499999999375
IPAY,2011-07-31,4,2,0.499999999875
QCLN,2007-10-31,4,0,0.0
SMH,2006-09-30,4,0,0.0
SMH,2007-04-30,3,0,0.0
SMH,2007-06-30,3,1,0.3333333332222222
SMH,2007-07-31,5,1,0.19999999996
SMH,2011-06-30,3,0,0.0
SMH,2012-07-31,4,1,0.2499999999375
WCLD,2006-01-31,6,1,0.16666666663888888
WCLD,2006-05-31,6,1,0.16666666663888888
WCLD,2006-08-31,4,1,0.2499999999375
WCLD,2006-09-30,3,0,0.0
WCLD,2006-10-31,4,1,0.2499999999375
WCLD,2007-01-31,4,1,0.2499999999375
WCLD,2007-03-31,5,1,0.19999999996
WCLD,2007-05-31,3,0,0.0
WCLD,2007-11-30,4,1,0.2499999999375
WCLD,2007-12-31,6,0,0.0
WCLD,2008-01-31,8,0,0.0
WCLD,2008-03-31,3,0,0.0
WCLD,2008-04-30,4,0,0.0
WCLD,2008-07-31,8,3,0.374999999953125
WCLD,2008-08-31,3,0,0.0
WCLD,2008-09-30,3,0,0.0
WCLD,2008-10-31,5,0,0.0
WCLD,2008-11-30,5,0,0.0
WCLD,2009-01-31,3,0,0.0
WCLD,2009-03-31,3,1,0.3333333332222222
WCLD,2009-04-30,3,0,0.0
WCLD,2009-06-30,5,1,0.19999999996
WCLD,2009-07-31,5,2,0.39999999992
WCLD,2009-08-31,3,0,0.0
WCLD,2009-09-30,3,0,0.0
WCLD,2009-10-31,4,1,0.2499999999375
WCLD,2009-11-30,7,0,0.0
WCLD,2009-12-31,14,5,0.35714285711734695
WCLD,2010-01-31,5,2,0.39999999992
WCLD,2010-02-28,4,1,0.2499999999375
WCLD,2010-03-31,10,3,0.29999999997
WCLD,2010-04-30,14,5,0.35714285711734695
WCLD,2010-05-31,6,2,0.33333333327777775
WCLD,2010-06-30,6,2,0.33333333327777775
WCLD,2010-07-31,6,1,0.16666666663888888
WCLD,2010-08-31,3,0,0.0
WCLD,2010-09-30,17,7,0.41176470585813146
WCLD,2010-10-31,5,2,0.39999999992
WCLD,2010-11-30,10,1,0.09999999999
WCLD,2010-12-31,7,2,0.2857142856734694
WCLD,2011-01-31,5,1,0.19999999996
WCLD,2011-02-28,14,2,0.14285714284693876
WCLD,2011-03-31,5,2,0.39999999992
WCLD,2011-04-30,5,0,0.0
WCLD,2011-05-31,17,4,0.235294117633218
WCLD,2011-06-30,7,0,0.0
WCLD,2011-07-31,4,2,0.499999999875
WCLD,2011-09-30,25,6,0.2399999999904
WCLD,2011-10-31,5,0,0.0
WCLD,2011-11-30,6,1,0.16666666663888888
WCLD,2012-02-29,4,1,0.2499999999375
WCLD,2012-03-31,10,2,0.19999999998
WCLD,2012-04-30,5,0,0.0
WCLD,2012-05-31,5,2,0.39999999992
WCLD,2012-06-30,4,0,0.0
WCLD,2012-07-31,7,0,0.0
WCLD,2012-08-31,5,1,0.19999999996
WCLD,2012-10-31,9,3,0.3333333332962963
WCLD,2013-01-31,12,4,0.33333333330555553
