eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36,sms_score,n_expected,n_silent
2011-08-31,FDN,0.0036528695764415937,-0.004805093337888306,-0.019921487279499907,-0.013730700861058506,0.0545885674347349,0.49999999996428574,14,7
2011-09-30,FDN,0.001361608338126394,-0.012670871001810807,-0.020895559992906508,-0.010877379724321207,0.05565547879291309,0.6363636363057851,11,7
2011-11-30,FDN,-0.0014111418064477002,-0.020754439500608103,-0.0205611946251385,0.0020002035685431976,0.0568249731631131,0.16666666663888888,6,1
2011-12-31,FDN,-0.004812391611624,-0.022909749246030103,-0.0191725581291788,0.0091365415450002,0.050652948244409496,0.124999999984375,8,1
2012-01-31,FDN,-0.0074016706133041,-0.024071446680932,-0.018402078891854603,0.0169643616787223,0.05003102041772389,0.35714285711734695,14,5
2012-02-29,FDN,-0.0084579629143299,-0.023574356855941503,-0.0173835704375001,0.0254722562643017,0.05013331336218219,0.11111111109876542,9,1
2012-03-31,FDN,-0.014032479339937199,-0.022257168331032903,-0.0122389880624476,0.0345377142829776,0.0505416162651543,0.0,4,0
2012-05-31,FDN,-0.0193432976941604,-0.019150052818690796,0.003411345374990901,0.047420671798185,0.052458420750788604,0.0,7,0
2012-06-30,FDN,-0.018097357634406102,-0.014360166517554796,0.0139489331566242,0.0523121309636401,0.055465339856033496,0.0,6,0
2012-07-31,FDN,-0.016669776067627897,-0.011000408278550502,0.0243660322920264,0.0552031231163474,0.057432691031028,0.16666666663888888,6,1
2012-08-31,FDN,-0.0151163939416116,-0.0089256075231702,0.0339302191786316,0.0593936607726232,0.05859127627651211,0.19999999996,5,1
2012-09-30,FDN,-0.0082246889910957,0.0017934912774895998,0.0485701936229148,0.0683263497947239,0.06457409560509152,0.0,4,0
2012-10-31,FDN,-0.0033382977532058,0.0129150358089576,0.0588040624161082,0.0755125755729008,0.0687732060429657,0.0,3,0
2012-11-30,FDN,0.0001932448754696001,0.0227546430691513,0.06676396949234539,0.0775794126637212,0.07180171844494901,0.59999999988,5,3
2012-12-31,FDN,0.0037371911168513003,0.0320462907910303,0.07040948859804619,0.07356269749043959,0.07356269749043959,0.499999999875,4,2
2013-04-30,FDN,0.0162533335621634,0.062142360169313994,0.0788508733261066,0.07211150379617151,0.07211150379617151,0.0,4,0
2013-05-31,FDN,0.0225613981936817,0.0665707246168758,0.0773861677882516,0.0716084735694794,0.0716084735694794,0.3333333332222222,3,1
2007-02-28,IBB,-0.02735390709219765,0.02499458021957479,0.18244697946412336,0.4066511237525461,0.28327313866107984,0.16666666663888888,6,1
2007-03-31,IBB,0.01517188143692405,0.05915299441723021,0.2553493469845298,0.40941245670141235,0.31798384697493587,0.0,6,0
2007-05-31,IBB,0.05981630315639108,0.047614141155692846,0.2860781164962506,0.27138542916392094,0.2792878421937679,0.3333333332222222,3,1
