eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36
2015-09-30,IBB,-0.20859887419974843,-0.15277801856280826,-0.2248234497802244,-0.16212233814445687,-0.22677897646680423
2015-10-31,IBB,-0.17200643157756335,-0.23565648677564666,-0.20545367864492659,-0.23087529101262916,-0.2904711640081843
2015-11-30,IBB,-0.16862677148472716,-0.22846708343736288,-0.28323596895355696,-0.2801341758473329,-0.2844091403392155
2015-12-31,IBB,-0.2820235859502377,-0.30940717179023036,-0.23452245597164323,-0.30764513960415374,-0.34213754311517997
2016-01-31,IBB,-0.03196703403716816,-0.11864732397583888,-0.06395056842317226,-0.13320932624200355,-0.12452579776601091
2016-02-29,IBB,-0.015000134148129951,-0.041331733937828075,0.02552530596266045,-0.10173911946415215,-0.0814321242649847
2016-03-31,IBB,0.05582085563694017,-0.016224575580475964,0.04647653605529156,-0.047504485282013675,-0.06806253930602613
2016-04-30,IBB,-0.06365005519808331,-0.03344724706736324,-0.05886885943506581,-0.10450218271378986,-0.17941309400487093
2016-05-31,IBB,-0.05984031195263573,-0.1146091974688298,-0.11150740436260576,-0.10960296201517339,-0.20325853223165236
2016-06-30,IBB,-0.027383585839992675,0.04750112997859446,-0.02562155365391605,-0.019768288167321013,-0.09799235801482598
2016-07-31,IBB,-0.08668028993867072,-0.0319835343860041,-0.10124229220483538,-0.08281300704860806,-0.23240871904372773
2016-08-31,IBB,-0.026331599789698124,0.0405254401107904,-0.0867389853160222,-0.03506453977157076,-0.210765362546956
2016-09-30,IBB,-0.07204543121741613,-0.009344319581648608,-0.10332534091895385,-0.07400095790399597,-0.2943389605690132
2016-10-31,IBB,0.03020280813072007,0.004781195763017498,-0.04085212751570655,-0.054814677232537634,-0.14102176810352052
2016-11-30,IBB,-0.05476888551619408,-0.05166709240997003,-0.04976265006253766,-0.05594205690185261,-0.09344828721751275
2016-12-31,IBB,0.07488471581858713,0.001762032186076623,0.0076152976726716615,-0.0327303713249496,-0.06428135392708878
2017-01-31,IBB,0.05469675555266662,-0.014562002266164664,0.003867282890062662,-0.005878473790172034,-0.14772859546059025
2017-02-28,IBB,0.06685703990048852,-0.060407385526324076,-0.008732939981872634,-0.04010039032715662,-0.09755951724641132
2017-03-31,IBB,0.06270111163576753,-0.03127990970153771,-0.0019555266865798338,-0.05183796372555016,-0.011253000764506638
2017-04-30,IBB,-0.025421612367702573,-0.07105493564642662,-0.0850174853632577,-0.1459658469375077,0.005040300917570795
2017-05-31,IBB,0.003101793106224049,0.005006235453656416,-0.0011731713856585335,-0.08864933476282255,0.09806815342015074
2017-06-30,IBB,-0.07312268363251051,-0.06726941814591547,-0.10761508714353674,-0.14549348799342043,0.015612718460971675
2017-07-31,IBB,-0.06925875781883128,-0.05082947266260396,-0.060575229342838655,-0.20042518465772363,-0.0680327870871219
2017-08-31,IBB,-0.1272644254268126,-0.07558997988236116,-0.10695743022764514,-0.2512908026577464,-0.1704470858678736
