investor,tps,portfolio_size,n_top_tier_connections,sms_score
Azini Capital Partners,1.0,3,3,0.25
Greenpark Capital,1.0,3,3,0.25
TempoPark Fund,1.0,3,3,0.25
Dave Carlson,1.0,2,2,0.5
David Calone,1.0,2,2,0.5
Troy Henikoff,1.0,2,2,0.5
Mid-Atlantic Venture Funds,1.0,2,2,0.5
Endeavour Capital,1.0,4,4,0.0
AO Capital Partners,1.0,1,1,0.75
Global Gateway Investment Group,1.0,1,1,0.75
BIP Investment Partners,1.0,1,1,0.75
Naspers,1.0,1,1,0.75
Intuitive Venture Partners,1.0,1,1,0.75
Sunshine Wireless Company,1.0,1,1,0.75
Baylor Angel Network,1.0,1,1,0.75
Essex Property Trust,1.0,2,2,0.5
Marcus & Millichap Venture Partners,1.0,2,2,0.5
United Dominion Realty Trust,1.0,2,2,0.5
Mike Volpi,1.0,2,2,0.5
Scott Marlette,1.0,2,2,0.5
Sean Parker,1.0,2,2,0.5
Scott McNealy,1.0,1,1,0.75
William Hearts II,1.0,1,1,0.75
Invision Private Equity AG,1.0,3,3,0.25
Kegonsa Capital Partners,1.0,1,1,0.75
Queen City Angels,1.0,1,1,0.75
Beechtree Capital,1.0,1,1,0.75
MSD Capital,1.0,4,4,0.0
Austral Capital,1.0,1,1,0.75
Merchant Banking Devision,1.0,4,4,0.0
1C Company,1.0,1,1,0.75
Sergey Orlovskiy,1.0,1,1,0.75
SIB Innovations,1.0,1,1,0.75
TechnoStart,1.0,1,1,0.75
eCAPITAL Entrepreneurial Partners AG,1.0,1,1,0.75
Canary Ventures,1.0,3,3,0.25
"Mesco, ltd",1.0,3,3,0.25
Marissa Mayer,1.0,2,2,0.5
Neo Technology Ventures,1.0,2,2,0.5
No 8 Ventures,1.0,3,3,0.25
TiE Angels,1.0,2,2,0.5
Gil Elbaz,1.0,2,2,0.5
Calumet Venture Fund,1.0,1,1,0.75
Mark Wachen,1.0,3,3,0.25
Bruno Bowden,1.0,3,3,0.25
Fritz Demopoulos,1.0,3,3,0.25
Sam Shank,1.0,3,3,0.25
Sebastien de Halleux,1.0,3,3,0.25
Baker Capital,1.0,1,1,0.75
Asif Ramji,1.0,2,2,0.5
Francisco Partners,1.0,2,2,0.5
Beth Chappell,1.0,1,1,0.75
Betsy Bernard,1.0,1,1,0.75
Bill Cvengros,1.0,1,1,0.75
Bob Allison,1.0,1,1,0.75
Capital R Investments,1.0,1,1,0.75
Chris Carey,1.0,1,1,0.75
Curtis Arnold,1.0,1,1,0.75
David S. Kidder,1.0,4,4,0.0
Henry Nolte,1.0,1,1,0.75
Jim Lane,1.0,1,1,0.75
Jim Nordstrom,1.0,1,1,0.75
Kai Huang,1.0,1,1,0.75
Martin Muoto,1.0,1,1,0.75
Marty Schoffstall,1.0,1,1,0.75
Melanie Sabelhaus,1.0,1,1,0.75
Mohan Tavorath,1.0,1,1,0.75
Charlie Federman,1.0,2,2,0.5
Ilan Kaufthal,1.0,2,2,0.5
Michael Loeb,1.0,2,2,0.5
Yuval Tal,1.0,2,2,0.5
Charles Schwab,1.0,2,2,0.5
C&B Capital,1.0,2,2,0.5
Bill Harris,1.0,3,3,0.25
Westwood Ventures,1.0,1,1,0.75
Royal Bank of Scotland,1.0,3,3,0.25
HLM Venture Partners,1.0,1,1,0.75
Individual Investors,1.0,2,2,0.5
Jack Abraham,1.0,3,3,0.25
Atrium Venture Partners,1.0,4,4,0.0
Honda Motor Company,1.0,4,4,0.0
BlueSky Capital,1.0,1,1,0.75
Baker Brothers Investments,1.0,2,2,0.5
Owen Van Natta,1.0,1,1,0.75
The Vertical Group,1.0,1,1,0.75
Global Investment Partners,1.0,2,2,0.5
The eCoast Angel Network,1.0,1,1,0.75
Glenn Winokur,1.0,3,3,0.25
DFJ JAIC,1.0,3,3,0.25
Societe Generale,1.0,3,3,0.25
Amalfi Capital,1.0,2,2,0.5
VeraSun Energy,1.0,3,3,0.25
HomeAdvisor,1.0,1,1,0.75
Revolution Ventures,1.0,2,2,0.5
Leonard Lodish,1.0,2,2,0.5
Albert Azout,1.0,1,1,0.75
Bruce Leak,1.0,1,1,0.75
Jawed Karim,1.0,3,3,0.25
Konstantin Othmer,1.0,1,1,0.75
Mike Brown Jr,1.0,1,1,0.75
Pradeep Sindhu,1.0,1,1,0.75
Peter Rip,1.0,3,3,0.25
Steve Hall,1.0,3,3,0.25
Gurbaksh Chahal,1.0,4,4,0.0
Roda Group,1.0,2,2,0.5
Ron Zuckerman,1.0,1,1,0.75
CIM Fund,1.0,1,1,0.75
Sherry Coutu,1.0,4,4,0.0
Jon Nordmark,1.0,1,1,0.75
Richmond Park Partners,1.0,1,1,0.75
zulily,1.0,1,1,0.75
Megunticook Management,1.0,1,1,0.75
YankeeTek Ventures,1.0,1,1,0.75
Inter-Atlantic Group,1.0,1,1,0.75
Chase Franklin,1.0,1,1,0.75
Sujal Patel,1.0,1,1,0.75
Bob Lisbonne,1.0,2,2,0.5
Alexander Gage,1.0,1,1,0.75
Harold Ickes,1.0,1,1,0.75
Mark Schulze,1.0,4,4,0.0
William Randolph Hearst III,1.0,2,2,0.5
Compass,1.0,1,1,0.75
Persistence Partners,1.0,2,2,0.5
Netflix,1.0,2,2,0.5
DFJ DragonFund,1.0,1,1,0.75
Novacap Investments,1.0,1,1,0.75
Sterling Partners,1.0,1,1,0.75
Andy Rankin,1.0,2,2,0.5
Double M Partners,1.0,2,2,0.5
RAP Investments,1.0,4,4,0.0
Fastlane Ventures,1.0,1,1,0.75
Triage Ventures,1.0,2,2,0.5
Michael Bronner,1.0,3,3,0.25
Indiana's 21st Century Technology Fund,1.0,4,4,0.0
Joe Greenstein,1.0,4,4,0.0
Troy Carter,1.0,1,1,0.75
Jacob Pechenik,1.0,2,2,0.5
Todd Arky,1.0,2,2,0.5
The Kinsey Hills Group,1.0,2,2,0.5
Rick Marini,1.0,1,1,0.75
OATV,1.0,3,3,0.25
Dan Gillmor,1.0,3,3,0.25
Jeff Pulver,1.0,2,2,0.5
Michael Arrington,1.0,2,2,0.5
Steve Garfield,1.0,2,2,0.5
GVC Venture Fund,1.0,4,4,0.0
VeriFone,1.0,2,2,0.5
Drobny Global Advisors,1.0,1,1,0.75
The Challenge Funds,1.0,1,1,0.75
Jacob Goldfield,1.0,2,2,0.5
Alex Edelstein,1.0,1,1,0.75
And other angel investors,1.0,1,1,0.75
Dennis Bemmann,1.0,1,1,0.75
Michael Brehm,1.0,1,1,0.75
Philips Venture Capital Fund,1.0,3,3,0.25
SilkRoad Equity,1.0,4,4,0.0
1to1 Venture Partners,1.0,3,3,0.25
Andre Haddad,1.0,3,3,0.25
Lorrie Norrington,1.0,3,3,0.25
Marty Pejko,1.0,3,3,0.25
Rami Lipman,1.0,3,3,0.25
Roy Barr,1.0,3,3,0.25
Guy Kawasaki,1.0,2,2,0.5
Li Ka-shing,1.0,2,2,0.5
SRI International,1.0,4,4,0.0
Neoteny,1.0,2,2,0.5
Sussex Place Ventures,1.0,3,3,0.25
Mark Gerson,1.0,2,2,0.5
Shikhar Ghosh,1.0,2,2,0.5
"lessin X2, llc",1.0,4,4,0.0
Jonathan Gay,1.0,2,2,0.5
Rob Burgiss,1.0,2,2,0.5
Brian McClendon,1.0,1,1,0.75
fbFund,1.0,1,1,0.75
"Moser Baer India, Ltd",1.0,1,1,0.75
Proxima Ventures Ltd,1.0,4,4,0.0
The Mail Room Fund,1.0,2,2,0.5
Needham Capital Partners,1.0,3,3,0.25
Thayer Ventures,1.0,1,1,0.75
Cher Wang,1.0,4,4,0.0
Wen-Chi Chen,1.0,4,4,0.0
Ignition Capital,1.0,1,1,0.75
Cervin Ventures,1.0,1,1,0.75
TiE Silicon Valley Angels,1.0,1,1,0.75
Andrew Rasiej,1.0,2,2,0.5
Robin Chan,1.0,2,2,0.5
Zachary Bogue,1.0,2,2,0.5
Argus Capital,1.0,2,2,0.5
Chase Capital Partners,1.0,2,2,0.5
Weston Presidio Capital,1.0,2,2,0.5
Micah Siegel,1.0,3,3,0.25
Nirav Tolia,1.0,3,3,0.25
iGlobe Partners,1.0,1,1,0.75
Samson Venture Partners,1.0,1,1,0.75
"Consigliere Brand Capital, LLC",1.0,3,3,0.25
Doug Lebda,1.0,3,3,0.25
Isai,1.0,1,1,0.75
Norsk Hydro ASA,1.0,2,2,0.5
Chris Ackerley,1.0,1,1,0.75
Chris Harding,1.0,1,1,0.75
John Ferber,1.0,1,1,0.75
John Keister,1.0,1,1,0.75
Justin Timberlake,1.0,1,1,0.75
Parkview Ventures,1.0,1,1,0.75
