investor,deg_in,deg_out,betweenness,eigenvector,out_deg_wt,tps,portfolio_size,rank_deg_out,rank_betweenness,rank_eigenvector,rank_tps,rank_divergence
Spansion,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,1.0356,0.2818090867309465,1.0,429,644,931,139,290
Keith Rabois,0.0018181818181818182,0.006363636363636364,0.0,0.007892163369022018,2.7992999999999997,0.2809226861796552,22.0,144,644,282,140,4
Pinnacle Ventures,0.0018181818181818182,0.0,0.0,0.04818255069206842,0.0,0.2800677303270073,12.0,934,644,54,141,793
Naval Ravikant,0.005454545454545455,0.00909090909090909,0.0007407241139368364,0.11060629644547897,7.9887,0.2791164513938312,26.0,83,152,20,142,59
Constantin Partners,0.0036363636363636364,0.006363636363636364,0.0036138358286009293,0.02674486824702969,3.2142,0.2788081685000926,4.0,144,104,123,143,1
Sean Parker,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.3764,0.2779436407719512,2.0,575,644,931,144,431
Mike Volpi,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.3764,0.2779436407719512,2.0,575,644,931,144,431
SV Angel,0.013636363636363636,0.057272727272727274,0.04020672936634419,0.049021152302337646,52.0616,0.277851032218178,229.0,1,7,53,146,145
Radar Partners,0.0036363636363636364,0.0036363636363636364,0.0010549707077282216,0.007481647590983782,2.7901999999999996,0.2767858692969965,11.0,319,147,291,147,172
Mark Leslie,0.0027272727272727275,0.0036363636363636364,0.0,0.011376406620174646,2.6528,0.2752959675093228,5.0,319,644,240,148,171
"Duff, Ackerman and Goodrich",0.00909090909090909,0.0,0.0,0.04973927909790143,0.0,0.2721716005618577,3.0,934,644,51,149,785
Golden Venture Partners,0.0027272727272727275,0.0036363636363636364,0.0,0.013824288470362033,2.7528,0.271970743048622,6.0,319,644,217,150,169
Max Levchin,0.0,0.0036363636363636364,0.0,6.450860072587633e-20,3.306,0.2719128672185719,21.0,319,644,931,151,168
Joshua Schachter,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.3295,0.2676013882325622,17.0,429,644,931,152,277
Sarofim Fayez and Co.,0.0009090909090909091,0.0,0.0,9.727638955059249e-19,0.0,0.265016089220278,4.0,934,644,717,153,781
Emil Michael,0.0,0.006363636363636364,0.0,6.450860072587633e-20,2.7992999999999997,0.2601565624450869,5.0,144,644,931,154,10
Yahoo!,0.0009090909090909091,0.0036363636363636364,0.0,0.02265053825339525,3.5276,0.2520462759266159,6.0,319,644,142,155,164
Peter Thiel,0.004545454545454545,0.01090909090909091,0.006520616821171242,0.03739356087835325,9.767,0.2514227269794222,24.0,56,74,81,156,100
First Round Capital,0.04181818181818182,0.04909090909090909,0.09394663793554951,0.3109877823311096,41.943599999999996,0.2478135606746417,164.0,2,1,2,157,155
Russ Fradin,0.0,0.0036363636363636364,0.0,6.450860072587633e-20,2.6204,0.2471631880094293,2.0,319,644,931,158,161
Stage One Capital,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.6262,0.2466256152898419,6.0,429,644,931,159,270
Nils Johnson,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.7322,0.2450088425176381,4.0,575,644,931,160,415
Steve Chen,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.7322,0.2450088425176381,4.0,575,644,931,160,415
Selby Venture Partners,0.005454545454545455,0.005454545454545455,0.006385939709546363,0.04379202676369309,4.6926,0.2443350197977113,7.0,192,76,65,162,30
