investor,tps_raw,top_tier_targets,companies_hit,portfolio_size,tps,out_degree
ATEL Ventures,0.3683530722388251,3,1,1,0.3683530722388251,1.2246000000000001
O'Reilly AlphaTech Ventures,8.045962343381062,32,10,22,0.36572556106277554,27.534
Paul Kagan,0.3656408243861308,2,1,1,0.3656408243861308,1.1842
Greg Yaitanes,1.4614088669590788,8,2,4,0.3653522167397697,6.069599999999999
Brian Pokorny,3.2818130532052567,14,4,9,0.36464589480058407,10.8072
Jeffrey Jordan,1.0921030146407529,7,3,3,0.3640343382135843,6.0478000000000005
betaworks,13.408401847842429,46,14,37,0.36238923913087645,44.0665
Mark Pincus,3.2546669970759163,13,4,9,0.36162966634176846,10.535499999999999
Travis Kalanick,1.4333966589249523,10,2,4,0.35834916473123807,6.880699999999999
Rich Barton,3.574144141078553,20,6,10,0.3574144141078553,15.3743
Jeff Jordan,0.7108021190198913,2,1,2,0.35540105950994566,1.4096
Mike Yavonditte,1.0651443049091986,7,2,3,0.35504810163639955,4.6075
Nat Turner,1.7691397985330684,6,2,5,0.3538279597066137,4.777200000000001
Guy Oseary,1.7676997100365248,5,1,5,0.353539942007305,3.7230000000000003
Aaron Patzer,1.057174739967778,8,2,3,0.35239157998925935,4.7433
Steve Hall,0.3520793485141065,3,1,1,0.3520793485141065,1.7289
Peter Rip,0.3520793485141065,3,1,1,0.3520793485141065,1.7289
Cambrian Ventures,1.7584625944156709,6,2,5,0.3516925188831342,3.5296000000000003
Gurbaksh Chahal,0.3511223323057247,4,1,1,0.3511223323057247,2.5356
Westwood Ventures,0.35073339778563145,1,1,1,0.35073339778563145,0.8218
Othman Laraki,1.7482540333715675,4,1,5,0.3496508066743135,3.2952
Ooga Labs,1.7482540333715675,4,1,5,0.3496508066743135,3.2952
Bill Bryant,0.6962420106446128,2,1,2,0.3481210053223064,1.413
Don Hutchison,2.079714245855701,8,3,6,0.3466190409759502,5.3172999999999995
MSD Capital,0.3444761764796478,4,1,1,0.3444761764796478,2.1852
VeriFone,0.3444401337688765,2,1,1,0.3444401337688765,1.1246
Doug Mackenzie,1.026864694712894,10,3,3,0.3422882315709647,6.8278
Kevin Compton,1.026864694712894,10,3,3,0.3422882315709647,6.8278
Michael Dearing,1.6826000445104212,3,1,5,0.3365200089020842,2.5857
Micron Technology,0.6712623146571399,4,2,2,0.33563115732856996,5.0008
Seagate,0.6712623146571399,4,2,2,0.33563115732856996,5.0008
HMS Ventures,0.33463177956613854,1,1,1,0.33463177956613854,0.7682
Social Leverage,3.967376964819392,26,4,12,0.3306147470682827,22.194300000000002
Cambridge Capital Group,0.988859333259086,3,1,3,0.3296197777530287,3.5556
Joshua Stylman,1.6451070928729046,14,2,5,0.3290214185745809,7.3130999999999995
WGI Fund,0.3282114501031893,3,1,1,0.3282114501031893,1.4609999999999999
WTI,0.3282114501031893,3,1,1,0.3282114501031893,1.4609999999999999
Ron Conway,21.95455311639543,80,31,67,0.3276798972596333,75.9512
Garrett Camp,0.977988535071818,10,2,3,0.3259961783572727,3.66
Tango,0.9757726529751752,11,2,3,0.3252575509917251,9.0216
Adam D'Angelo,1.6172057855515285,5,1,5,0.3234411571103057,3.518
Taishan Invest AG,0.3217373686089709,2,1,1,0.3217373686089709,3.3884
King Hill Capital,0.3188590568203886,1,1,1,0.3188590568203886,2.9884
Clal Industries and Investments (CII),0.3173226673322863,3,1,1,0.3173226673322863,2.0132
Steve Case,1.8940258203869664,7,3,6,0.3156709700644944,5.9184
Dharmesh Shah,3.155622377703026,16,4,10,0.31556223777030257,12.1233
Atomico,7.56863526953442,36,11,24,0.3153598028972675,30.444399999999998
