funding_round_id,funded_object_id,investor_object_id,object_id,funded_at,funding_round_type,investor_name,company_name,category_code,category_norm,etf_primary,sector_name,confidence
44352,c:60796,f:2142,c:60796,2013-07-31,series-b,Delphi Ventures,Karyopharm Therapeutics,biotech,biotech,XBI,biotech,0.7
44365,c:243774,f:7527,c:243774,2010-10-25,series-a,Webb Investment Network,24/7 Card,finance,finance,XLF,fintech,0.7
44368,c:243774,f:7527,c:243774,2011-10-24,series-a,Webb Investment Network,24/7 Card,finance,finance,XLF,fintech,0.7
44369,c:85760,f:7527,c:85760,2011-02-14,series-a,Webb Investment Network,LiveLoop,enterprise,enterprise,IGV,saas,0.7
44431,c:151719,f:128,c:151719,2013-12-03,series-b,Novitas Capital,Cernostics,biotech,biotech,XBI,biotech,0.7
44431,c:151719,f:2688,c:151719,2013-12-03,series-b,Pittsburgh Life Sciences Greenhouse,Cernostics,biotech,biotech,XBI,biotech,0.7
44448,c:21138,f:47,c:21138,2013-08-01,series-b,Insight Venture Partners,HootSuite,social,social,FDN,consumer_internet,0.7
44448,c:21138,f:4,c:21138,2013-08-01,series-b,Accel Partners,HootSuite,social,social,FDN,consumer_internet,0.7
44448,c:21138,f:7827,c:21138,2013-08-01,series-b,OMERS Ventures,HootSuite,social,social,FDN,consumer_internet,0.7
44451,c:136962,f:5848,c:136962,2013-08-01,series-a,High-Tech Grunderfonds Management,CorTec,biotech,biotech,XBI,biotech,0.7
44455,c:244082,f:9173,c:244082,2013-08-01,series-b,venture capitals,Pebbles Interfaces,hardware,hardware,SOXX,semiconductors,0.7
44455,c:244082,f:863,c:244082,2013-08-01,series-b,Giza Venture Capital,Pebbles Interfaces,hardware,hardware,SOXX,semiconductors,0.7
44455,c:244082,f:12893,c:244082,2013-08-01,series-b,iNetworks 360,Pebbles Interfaces,hardware,hardware,SOXX,semiconductors,0.7
44456,c:244083,f:8463,c:244083,2013-08-01,series-a,M-Investar,Capical,biotech,biotech,XBI,biotech,0.7
44456,c:244083,f:3943,c:244083,2013-08-01,series-a,KFW,Capical,biotech,biotech,XBI,biotech,0.7
44460,c:244089,f:3088,c:244089,2013-08-01,series-a,MVC Capital,Biogenic Reagents,enterprise,enterprise,IGV,saas,0.7
44467,c:76998,f:7527,c:76998,2012-03-09,series-a,Webb Investment Network,Zanbato,finance,finance,XLF,fintech,0.7
44524,c:175840,f:249,c:175840,2013-08-02,series-a,Oak Investment Partners,RebelMouse,social,social,FDN,consumer_internet,0.7
44524,c:175840,f:214,c:175840,2013-08-02,series-a,SoftBank Capital,RebelMouse,social,social,FDN,consumer_internet,0.7
44554,c:244358,f:3544,c:244358,2013-07-01,series-a,Confrapar,Easy Food,health,health,XBI,biotech,0.7
44580,c:244633,f:12893,c:244633,2012-06-01,series-a,iNetworks 360,Fulcrum SP Materials,biotech,biotech,XBI,biotech,0.7
44580,c:244633,f:10625,c:244633,2012-06-01,series-a,Heliant Ventures,Fulcrum SP Materials,biotech,biotech,XBI,biotech,0.7
44580,c:244633,f:2679,c:244633,2012-06-01,series-a,Docor International Management,Fulcrum SP Materials,biotech,biotech,XBI,biotech,0.7
44589,c:243716,f:2612,c:243716,2012-08-01,series-a,Bainco International Investors,Signal Data,finance,finance,XLF,fintech,0.7
44593,c:244765,f:3630,c:244765,2013-08-02,series-a,Maven Capital Partners,Calnex Solutions,hardware,hardware,SOXX,semiconductors,0.7
44595,c:37998,f:7393,c:37998,2013-08-02,series-b,Lumira Capital,enGene,biotech,biotech,XBI,biotech,0.7
44612,c:18160,f:9447,c:18160,2013-08-14,series-b,Daher Capital,Kyriba Corporation,enterprise,enterprise,IGV,saas,0.7
44612,c:18160,f:1977,c:18160,2013-08-14,series-b,Iris Capital,Kyriba Corporation,enterprise,enterprise,IGV,saas,0.7
44631,c:244932,f:9169,c:244932,2013-09-12,series-a,Angel CoFund,Blu Wireless Technology,hardware,hardware,SOXX,semiconductors,0.7
44631,c:244932,f:9386,c:244932,2013-09-12,series-a,Wren Capital,Blu Wireless Technology,hardware,hardware,SOXX,semiconductors,0.7
44705,c:210614,f:2246,c:210614,2012-02-01,series-b,XSeed Capital,CellScape,biotech,biotech,XBI,biotech,0.7
44705,c:210614,f:5175,c:210614,2012-02-01,series-b,Zygote Ventures,CellScape,biotech,biotech,XBI,biotech,0.7
44706,c:210614,f:2246,c:210614,2010-12-01,series-a,XSeed Capital,CellScape,biotech,biotech,XBI,biotech,0.7
44706,c:210614,f:5175,c:210614,2010-12-01,series-a,Zygote Ventures,CellScape,biotech,biotech,XBI,biotech,0.7
44782,c:84798,f:1430,c:84798,2013-08-06,series-b,Clayton Associates,Catavolt,enterprise,enterprise,IGV,saas,0.7
44854,c:245728,f:12963,c:245728,2013-08-07,series-a,ASK Pravi,Omni Hospitals,biotech,biotech,XBI,biotech,0.7
44865,c:160604,f:1681,c:160604,2013-08-07,series-b,Samsung Ventures,CareinSync,software,software,IGV,saas,0.7
44885,c:235955,f:1563,c:235955,2013-08-07,series-a,RockPort Capital Partners,Drill Map,software,software,IGV,saas,0.7
44885,c:235955,f:799,c:235955,2013-08-07,series-a,Ridgewood Capital,Drill Map,software,software,IGV,saas,0.7
44894,c:146542,f:2251,c:146542,2013-12-02,series-b,Aravis Ventures,Telormedix,biotech,biotech,XBI,biotech,0.7
44894,c:146542,f:2217,c:146542,2013-12-02,series-b,ProQuest Investments,Telormedix,biotech,biotech,XBI,biotech,0.7
44979,c:235537,f:3127,c:235537,2013-08-08,series-a,Andreessen Horowitz,Glow,health,health,XBI,biotech,0.7
44979,c:235537,f:6,c:235537,2013-08-08,series-a,Founders Fund,Glow,health,health,XBI,biotech,0.7
44982,c:246071,f:3743,c:246071,2013-08-08,series-a,Covidien Ventures,SetPoint Medical,biotech,biotech,XBI,biotech,0.7
44982,c:246071,f:2138,c:246071,2013-08-08,series-a,Foundation Medical Partners,SetPoint Medical,biotech,biotech,XBI,biotech,0.7
44982,c:246071,f:248,c:246071,2013-08-08,series-a,Morgenthaler Ventures,SetPoint Medical,biotech,biotech,XBI,biotech,0.7
44982,c:246071,f:804,c:246071,2013-08-08,series-a,Topspin Partners,SetPoint Medical,biotech,biotech,XBI,biotech,0.7
44982,c:246071,f:12978,c:246071,2013-08-08,series-a,Action Potential Venture Capital,SetPoint Medical,biotech,biotech,XBI,biotech,0.7
44983,c:211598,f:9277,c:211598,2010-07-01,series-a,GCP Capital Partners,opvizor,software,software,IGV,saas,0.7
44984,c:211598,f:9277,c:211598,2012-01-01,series-b,GCP Capital Partners,opvizor,software,software,IGV,saas,0.7
45004,c:68615,f:636,c:68615,2013-09-19,series-a,Bain Capital Ventures,Hazelcast,software,software,IGV,saas,0.7
45118,c:196295,f:322,c:196295,2013-08-09,series-a,Rembrandt Venture Partners,Lytics,software,software,IGV,saas,0.7
45118,c:196295,f:851,c:196295,2013-08-09,series-a,Voyager Capital,Lytics,software,software,IGV,saas,0.7
45183,c:246809,f:8217,c:246809,2011-01-01,series-a,Skolkovo,3DiVi Company,software,software,IGV,saas,0.7
45222,c:246886,f:317,c:246886,2013-08-12,series-a,Kodiak Venture Partners,Greenlight Biosciences,biotech,biotech,XBI,biotech,0.7
45222,c:246886,f:66,c:246886,2013-08-12,series-a,Khosla Ventures,Greenlight Biosciences,biotech,biotech,XBI,biotech,0.7
45243,c:187245,f:5928,c:187245,2013-01-04,series-a,500 Startups,Runrun.it,software,software,IGV,saas,0.7
45243,c:187245,f:201,c:187245,2013-01-04,series-a,Monashees Capital,Runrun.it,software,software,IGV,saas,0.7
45301,c:102836,f:12979,c:102836,2002-05-22,series-a,McKay Trust,"Thru, Inc.",software,software,IGV,saas,0.7
45301,c:102836,f:12980,c:102836,2002-05-22,series-a,L&P Investments,"Thru, Inc.",software,software,IGV,saas,0.7
45302,c:102836,f:12979,c:102836,2003-06-01,series-a,McKay Trust,"Thru, Inc.",software,software,IGV,saas,0.7
45302,c:102836,f:12980,c:102836,2003-06-01,series-a,L&P Investments,"Thru, Inc.",software,software,IGV,saas,0.7
