investor,community_id
Evan Jones,38
Redmile Group,38
Roche Venture Fund,38
Nth Power,18
Wilson Sonsini Goodrich & Rosati,85
Generation Investment Management,3
Intertrust,3
NTT,3
Reliance Technology Ventures,3
Trilogy Equity Partnership,13
Longitude Capital,10
Quaker Partners,3
Hercules Technology Growth Capital,28
W Capital Partners,2
Woodside Fund,2
Allegis Capital,2
Enrique Salem,0
Esther Dyson,17
Alex Bresler,13
Columbus Nova Technology Partners,13
Frazier Healthcare Ventures,38
Anthemis Group,13
reinmkr capital,38
Aster Capital,38
Consensus Business Group,38
Expansion Capital Partners,38
New York City Investment Fund,13
Ampersand Capital Partners,19
Motorola Solutions,13
BMW i Ventures,4
Expansion Venture Capital,4
Fontinalis Partners,4
Seraph Group,4
Fung Capital USA,17
William Randolph Hearst III,2
Georgian Partners,13
Giza Venture Capital,38
Proxima Ventures Ltd,38
New Venture Partners,2
Longwood Founders Fund,38
Alexis Ohanian,22
DoCoMo Capital,2
Morgenthaler Ventures,18
Troika Dialog,2
Rho Capital Partners,0
Spark Ventures,13
Fox Interactive Media,2
KDDI,23
Phenomen Ventures,23
Richard Branson,23
Wellington Partners,23
Crosslink Capital,17
TeleSoft Partners,17
Doughty Hanson Technology Ventures,17
Noor Financial Investment,18
Noro-Moseley Partners,17
Xilinx,0
Frontier Ventures,17
Runa Capital,17
CampVentures,2
Windward Ventures,10
3i Group,17
Royal Bank of Scotland,17
Scottish Equity Partners,17
SmartForest Ventures,2
Clearstone Venture Partners,5
QuestMark Partners,17
JAFCO Asia,17
Justin Yoshimura,17
Matt Gilbert,17
SIG,28
Adobe Systems,28
CID Group,38
Hikari Tsushin Group,28
Blue Chip Venture Company,38
Spring Mill Venture Partners,38
Telefonica Ventures,2
Vodafone Ventures,85
NGP,5
Salil Deshpande,34
Glynn Capital Management,17
RIT Capital Partners,5
Valiant Capital Partners,23
Humana Inc.,5
Kapor Capital,4
McGraw-Hill Education,13
Pearson,13
bench,5
Carmel Ventures,5
Acton Capital Partners,5
CBS,5
Elon Musk,5
Mark Cuban,5
News Corp,5
Infotech Ventures,5
Alafi Capital,2
Horizons Ventures,18
Motorola Solutions Venture Capital,19
Evercore Partners,5
CP Lantern,5
WestSummit Capital,5
iGlobe Partners,5
Reuters,5
SoftBank,5
KTB Ventures,18
TruePosition,2
Gobi Partners,28
Bob Pittman,13
Publicis Groupe,13
Jarl Mohn,85
Prism Venture Management,38
Fuse Capital,2
Saban Media Group,13
Appian Ventures,13
Brad Feld,13
Jack Herrick,13
Scout Ventures,13
Fides Finanz-Invest,34
Kibo Ventures,34
Garage Technology Ventures,2
Velocity Interactive Group,0
Ascend Venture Group,0
Dry Creek Ventures,5
Energy Investors Fund,5
Silicon Valley Product Group,5
Earlybird Venture Capital,40
Teliasonera,2
Creandum,3
SEB Private Equity,3
Target Partners,40
Hummingbird Ventures,40
GirlMeetsDress,40
Global Founders Capital,40
Lingoda,40
Blumberg Capital,40
Devon Park BioVentures,38
MPM Bio IV NVS Strategic Fund,38
Skyline Ventures,38
Vectis Healthcare & Life Sciences Fund,38
Applied Ventures,38
GVC Venture Fund,38
Illinois Ventures,38
Hatteras Venture Partners,38
Lilly Ventures,38
Lurie Investment Fund,38
Novartis Option Fund,38
Boulder Ventures,4
